#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-40315.865746,200,5523.007053
-37639.443098,200,5534.027377
-28292.903689,200,5545.051362
-30104.3267,200,5556.064082
-54380.499322,200,5567.049198
-36865.857555,200,5578.04146
-22100.086698,200,5589.047531
-17882.637071,200,5600.098657
-25476.415033,200,5611.107496
-17215.671714,200,5622.097866
-15599.979788,200,5633.085346
-22515.021878,200,5644.139345
-42625.022241,200,5655.132854
-44769.115105,200,5666.225376
-19941.010876,200,5677.336159
-23830.967159,200,5688.411849
-18685.553862,200,5699.402919
-22422.083826,200,5710.406187
-39278.193024,200,5721.405919
-20537.804117,200,5732.384899
-19200.949979,200,5743.376689
-23886.896192,200,5754.438261
-24602.68792,200,5765.440228
-32020.767226,200,5776.469445
-31431.669677,200,5787.551898
-32537.634228,200,5798.65478
-22604.613367,200,5809.636655
-47798.667732,200,5820.662364
-19265.128418,200,5831.650601
-30609.95333,200,5842.626365
-28887.851568,200,5853.605287
-26341.227314,200,5864.59907
-27279.595591,200,5875.611409
-40585.41662,200,5886.668138
-22626.340066,200,5897.715592
-27584.827356,200,5908.776244
-18679.020284,200,5919.784743
-30023.063215,200,5930.766165
-25207.13303,200,5941.745318
-25001.476987,200,5952.731235
-19750.307859,200,5963.722075
-15952.647153,200,5974.720082
-16052.770661,200,5985.805276
-16711.955321,200,5996.792095
-14528.644869,200,6007.808864
-13991.800781,200,6018.874318
-13109.155104,200,6029.878912
-14097.532993,200,6040.950807
-12314.661685,200,6052.087193
-13141.991793,200,6063.071661
-12011.711174,200,6074.173107
-11806.103126,200,6085.172146
-10752.398266,200,6096.17052
-9745.894353,200,6107.219028
-11316.660543,200,6118.270861
-22949.313459,200,6129.315457
-7945.40462,200,6140.369352
-9560.523864,200,6151.375369
-9725.112508,200,6162.437143
-10515.546451,200,6173.490689
-11447.08169,200,6184.552925
-29389.496949,200,6195.551581
-18921.045537,200,6206.525188
-33176.599453,200,6217.511803
-14002.725396,200,6228.537098
-32244.123449,200,6239.548594
-11732.78285,200,6250.554174
-29862.469699,200,6261.670015
-42625.495077,200,6272.737442
-45758.407264,200,6283.739231
-9934.12994,200,6294.824434
-35015.602036,200,6305.954323
-9368.137725,200,6316.963835
-8766.731583,200,6328.046596
-8135.333324,200,6339.049547
-7078.429136,200,6350.088876
-6958.422576,200,6361.108887
-6622.727202,200,6372.10861
-5815.576584,200,6383.169836
-5437.750959,200,6394.159125
-5154.482451,200,6405.301401
-4862.665502,200,6416.31545
-4131.046398,200,6427.344522
-3930.484275,200,6438.360263
-4216.812283,200,6449.383823
-4570.96175,200,6460.405015
-4999.100246,200,6471.427895
-4694.941156,200,6482.433651
-4707.936518,200,6493.458404
-5088.537866,200,6504.469126
-5576.657213,200,6515.480806
-5724.624944,200,6526.513121
-5267.403136,200,6537.524791
-5223.176903,200,6548.673314
-5195.520221,200,6559.687323
-4935.478318,200,6570.77575
-3590.733778,200,6581.826232
-3137.674294,200,6592.866137
-3727.852005,200,6603.882085
-2629.543638,200,6614.97958
-2260.285813,200,6626.007109
-1710.884583,200,6637.109164
-1537.860167,200,6648.315607
-1508.231709,200,6659.449913
-2287.889521,200,6670.486634
-3452.763705,200,6681.519939
-3532.337689,200,6692.551927
-3087.172713,200,6703.589459
-3374.638143,200,6714.604144
-2957.12577,200,6725.720386
-4095.270818,200,6736.822481
-3885.262185,200,6747.991906
-2640.871055,200,6759.154422
-1805.312577,200,6770.236935
-1796.687987,200,6781.261268
-1941.626174,200,6792.359688
-1488.22484,200,6803.426177
-1239.014776,200,6814.514427
-1566.310639,200,6825.606934
-1350.732284,200,6836.63425
-1258.628389,200,6847.684448
-1600.283611,200,6858.851273
-1358.767952,200,6869.893311
-1532.482409,200,6880.969991
-1740.38389,200,6892.059547
-1949.185486,200,6903.250952
-1371.550795,200,6914.451302
-1885.339787,200,6925.601234
-2817.598688,200,6936.754277
-1818.545081,200,6947.971792
-2061.361922,200,6959.143313
-3969.666789,200,6970.325699
-2611.539423,200,6981.580471
-2728.457835,200,6992.716716
-2607.86028,200,7003.968288
-2504.778928,200,7015.109265
-2570.331139,200,7026.351135
-2313.056306,200,7037.621856
-2247.041078,200,7048.841311
-1669.922561,200,7059.991385
-2082.798888,200,7071.147654
-2763.869685,200,7082.293316
-3446.846027,200,7093.479459
-5785.549983,200,7104.627469
-4425.757261,200,7115.764494
-4366.114374,200,7126.883489
-3971.516529,200,7138.066896
-5029.318988,200,7149.242738
-5969.991108,200,7160.460379
-5519.727242,200,7171.714789
-4196.392559,200,7182.843202
-4217.966145,200,7193.984979
-4316.551075,200,7205.134847
-4189.970128,200,7216.317384
-3587.321709,200,7227.453547
-8573.263263,200,7238.613927
-7358.229578,200,7249.836706
-10016.337026,200,7261.030125
-15831.044531,200,7272.215407
-21724.959678,200,7283.350098
-32838.292069,200,7294.483284
-38931.142286,200,7305.671732
-37781.615937,200,7316.803822
-39122.785587,200,7327.938576
-39413.081355,200,7339.060917
-24389.933787,200,7350.185062
-32215.022374,200,7361.241897
-24397.25811,200,7372.282631
-26243.172633,200,7383.360226
-30601.283696,200,7394.466619
-27120.014898,200,7405.497513
-7209.867009,200,7416.536595
-32519.46491,200,7427.577916
-32773.446109,200,7438.669342
-40062.352879,200,7449.726424
-40496.983343,200,7460.776779
-42839.678277,200,7471.828454
-48247.776655,200,7482.87599
-73105.760784,200,7493.92243
-87983.937046,200,7504.972707
-37042.976832,200,7516.014565
-69996.164102,200,7527.109407
-110645.498019,200,7538.137119
-51831.209574,200,7549.261323
-38499.16563,200,7560.424083
-29710.239232,200,7571.444842
-32415.451168,200,7582.567452
